"Source:","C:\Users\paulh\OneDrive\hardware\sdr41-rxtx\sdrt41.kicad_sch"
"Date:","10/20/2023 1:32:57 PM"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","146"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","C1, C2","100u","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x10.5","~",""
"2","1","C3","47u","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x7.7","~",""
"3","14","C4, C5, C6, C8, C10, C18, C21, C22, C30, C34, C43, C47, C56, C57","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"4","20","C7, C23, C24, C29, C31, C32, C33, C35, C36, C39, C40, C46, C48, C49, C50, C51, C58, C59, C60, C61","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"5","1","C9","10u","Device:C_Polarized","Capacitor_SMD:C_0805_2012Metric","~",""
"6","4","C11, C12, C13, C14","1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"7","4","C15, C17, C19, C20","10n","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"8","4","C25, C26, C27, C28","68p","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"9","2","C37, C38","1n","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"10","4","C41, C42, C44, C45","100p","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"11","4","C52, C53, C54, C55","2n2","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"12","4","H1, H2, H3, H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~",""
"13","1","J1","Power","Connector:Screw_Terminal_01x02","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal","~",""
"14","1","J2","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132134_Vertical"," ~",""
"15","1","J3","I2C","Connector:Conn_01x04_Male","Connector_JST:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","~",""
"16","1","J4","output","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~",""
"17","1","J5","input","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~",""
"18","1","J6","TX","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132134_Vertical"," ~",""
"19","1","J7","Rx","Connector_Generic:Conn_01x01","Connector_Pin:Pin_D1.0mm_L10.0mm","~",""
"20","1","J8","Tx","Connector_Generic:Conn_01x01","Connector_Pin:Pin_D1.0mm_L10.0mm","~",""
"21","1","JP2","RX","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~",""
"22","1","JP5","tx","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~",""
"23","11","L1, L2, L4, L5, L6, L7, L8, L9, L10, L11, L12","L","Device:L","Inductor_SMD:L_0603_1608Metric","~",""
"24","4","R1, R2, R7, R8","2k","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"25","8","R3, R4, R5, R6, R23, R24, R31, R32","100","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"26","6","R9, R10, R37, R40, R47, R48","2k2","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"27","14","R11, R12, R13, R14, R28, R29, R33, R34, R35, R36, R38, R39, R41, R42","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"28","10","R15, R16, R17, R18, R19, R20, R21, R22, R27, R30","5.1k","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"29","2","R25, R26","5k1","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"30","4","R43, R44, R45, R46","50","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"31","1","T1","1:4","Device:Transformer_1P_SS","tubes:Transformer_Toroid_Horizontal_D12.5mm_Amidon-T44","~",""
"32","1","T2","4:1","Device:Transformer_1P_SS","tubes:Transformer_Toroid_Horizontal_D12.5mm_Amidon-T44","~",""
"33","1","U1","LM1117-5.0","Regulator_Linear:LM1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf",""
"34","1","U2","LM1117-3.3","Regulator_Linear:LM1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf",""
"35","2","U3, U10","SN74CBT3253","Analog_Switch:SN74CBT3253","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","http://www.ti.com/lit/gpn/sn74cbt3253",""
"36","5","U4, U6, U7, U8, U9","MC33078","Amplifier_Operational:MC33078","Package_SO:SO-8_3.9x4.9mm_P1.27mm","https://www.onsemi.com/pub/Collateral/MC33078-D.PDF",""
"37","1","U11","Si5351A-B-GM","Oscillator:Si5351A-B-GM","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","https://www.silabs.com/documents/public/data-sheets/Si5351-B.pdf",""
"38","1","Y2","25 Mhz","Device:Crystal_GND24_Small","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~",""
